file_name,query,page_no
NW_Zepto_SOW.pdf,What is the currency mentioned in the contract?,1
NW_Zepto_SOW.pdf,What is the Statement of Work (SOW) number mentioned in the contract?,1
NW_Zepto_SOW.pdf,What is the start date of the Statement of Work (SOW)?,1
NW_Zepto_SOW.pdf,What is the end date of the Statement of Work (SOW)?,1
NW_Zepto_SOW.pdf,What is the value of the Statement of Work (SOW) mentioned in the contract?,1
NW_Zepto_SOW.pdf,What is the credit period mentioned in the contract?,1
NW_Zepto_SOW.pdf,What is the payment cycle?,1
NW_Zepto_SOW.pdf,Payment deadline,1
NW_Zepto_SOW.pdf,What is the cost of living adjustment (COLA) mentioned in the contract?,1
NW_Zepto_SOW.pdf,What is the total number of Full-Time Equivalents (FTE) mentioned in the contract?,1
NW_Zepto_SOW.pdf,What is the number of employees assigned?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the currency mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the Statement of Work (SOW) number mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the start date of the Statement of Work (SOW)?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the end date of the Statement of Work (SOW)?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the value of the Statement of Work (SOW) mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the credit period mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the cost of living adjustment (COLA) mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the total number of Full-Time Equivalents (FTE) mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the number of employees assigned?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the currency mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the Statement of Work (SOW) number mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the start date of the Statement of Work (SOW)?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the end date of the Statement of Work (SOW)?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the value of the Statement of Work (SOW) mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the credit period mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the payment cycle?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,Payment deadline,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the cost of living adjustment (COLA) mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the total number of Full-Time Equivalents (FTE) mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the number of employees assigned?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the currency mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the start date of the Statement of Work (SOW)?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the end date of the Statement of Work (SOW)?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the cost of living adjustment (COLA) mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the total number of Full-Time Equivalents (FTE) mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the number of employees assigned?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the name of the account mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the account name?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the currency mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the start date of the Statement of Work (SOW)?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the end date of the Statement of Work (SOW)?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the cost of living adjustment (COLA) mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the total number of Full-Time Equivalents (FTE) mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the number of employees assigned?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the name of the recipient company? Next Wealth is the service provide name so extract the recipient company name.,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the currency mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the start date of the Statement of Work (SOW)?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the end date of the Statement of Work (SOW)?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the Statement of Work (SOW) number?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the SOW number?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the cost of living adjustment (COLA) mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the total number of Full-Time Equivalents (FTE) mentioned in the contract?,1
NW_Milastar_Amendment to SOW_Y2022 V2.pdf,What is the number of employees assigned?,1
JAA_NW_2024.pdf,What is the name of the recipient company? Next Wealth is the service provide name so extract the recipient company name.,1
JAA_NW_2024.pdf,What is the currency mentioned in the contract?,1
